epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81396,1.08758,2.74113,1.48555,0.56725,0.85,0.8784,0.63411,1.65383,1.0323,1.38426,0,0,0
2,5.32652,1.18581,2.79314,1.48719,0.55723,0.85,0.88594,0.63441,1.66917,1.0284,1.38496,7.973e-07,7.973e-07,7.973e-07
3,5.77981,1.09611,2.50659,1.21995,0.5591,0.85,0.85045,0.61534,1.68291,1.01274,1.38671,8.092e-07,8.092e-07,8.092e-07
